/* DATA DESCRIPTION:
Citation:	Barnet, James S K; Littler, Kate; Westerhold, Thomas; Kroon, Dick; Leng, Melanie J; Bailey, Ian; Röhl, Ursula; Zachos, James C (2018): Late Maastrichtian-early Eocene benthic stable carbon and oxygen isotope records from ODP Site 208-1262, South Atlantic [dataset]. College of Engineering, Mathematics and Physical Sciences, University of Exeter, PANGAEA, https://doi.org/10.1594/PANGAEA.884585, 
	In supplement to: Barnet, JSK et al. (2019): A High-Fidelity Benthic Stable Isotope Record of Late Cretaceous–Early Eocene Climate Change and Carbon-Cycling. Paleoceanography and Paleoclimatology, 34(4), 672-691, https://doi.org/10.1029/2019PA003556
Related to:	Barnet, James S K; Littler, Kate; Kroon, Dick; Leng, Melanie J; Westerhold, Thomas; Röhl, Ursula; Zachos, James C (2017): A new high-resolution chronology for the late Maastrichtian warming event: Establishing robust temporal links with the onset of Deccan volcanism. Geology, 46(2), 147-150, https://doi.org/10.1130/G39771.1
	Lauretano, Vittoria; Littler, Kate; Polling, M; Zachos, James C; Lourens, Lucas Joost (2015): Frequency, magnitude and character of hyperthermal events at the onset of the Early Eocene Climatic Optimum. Climate of the Past, 11(10), 1313-1324, https://doi.org/10.5194/cp-11-1313-2015
	Littler, Kate; Röhl, Ursula; Westerhold, Thomas; Zachos, James C (2014): A high-resolution benthic stable-isotope record for the South Atlantic: Implications for orbital-scale changes in Late Paleocene–Early Eocene climate and carbon cycling. Earth and Planetary Science Letters, 401, 18-30, https://doi.org/10.1016/j.epsl.2014.05.054
	McCarren, H; Thomas, E; Hasegawa, Takashi; Röhl, Ursula; Zachos, James C (2008): Depth Dependency of the Paleocene-Eocene carbon isotope excursion: Paired benthic and terrestrial biomarker records (Ocean Drilling Program Leg 208, Walvis Ridge). Geochemistry, Geophysics, Geosystems, 9(10), Q10008, https://doi.org/10.1029/2008GC002116
	Stap, Lennert Bastiaan; Lourens, Lucas Joost; Thomas, E; Sluijs, Appy; Bohaty, Steven M; Zachos, James C (2010): High-resolution deep-sea carbon and oxygen isotope records of Eocene Thermal Maximum 2 and H2. Geology, 38(7), 607-610, https://doi.org/10.1130/G30777.1
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	MEDIAN LATITUDE: -27.185827 * MEDIAN LONGITUDE: 1.576993 * SOUTH-BOUND LATITUDE: -27.186000 * WEST-BOUND LONGITUDE: 1.576980 * NORTH-BOUND LATITUDE: -27.185650 * EAST-BOUND LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-24T13:00:00 * DATE/TIME END: 2003-03-29T05:15:00
	MINIMUM DEPTH, sediment/rock: 87.7700 m * MAXIMUM DEPTH, sediment/rock: 212.6550 m
Event(s):	208-1262A * LATITUDE: -27.186000 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-24T13:00:00 * DATE/TIME END: 2003-03-26T12:40:00 * ELEVATION: -4759.0 m * PENETRATION: 161.5 m * RECOVERY: 163.53 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 17 cores; 161.5 m cored; 0 m drilled; 101.3 % recovery
	208-1262B * LATITUDE: -27.185830 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-26T12:40:00 * DATE/TIME END: 2003-03-27T21:25:00 * ELEVATION: -4753.6 m * PENETRATION: 209.9 m * RECOVERY: 212.53 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 23 cores; 209.9 m cored; 0 m drilled; 101.3 % recovery
	208-1262C * LATITUDE: -27.185650 * LONGITUDE: 1.576980 * DATE/TIME START: 2003-03-27T21:25:00 * DATE/TIME END: 2003-03-29T05:15:00 * ELEVATION: -4753.6 m * PENETRATION: 212.5 m * RECOVERY: 125.93 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 14 cores; 122.5 m cored; 90 m drilled; 102.8 % recovery
Parameter(s):	Event label (Event) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk)
	Sample code/label (Sample label) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Depth, top/min [m] (Depth top) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: mbsf
	Foraminifera, benthic δ13C [‰ PDB] (Foram benth δ13C) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: vs. VPDB
	Foraminifera, benthic δ18O [‰ PDB] (Foram benth δ18O) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: vs. VPDB
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: midpoint mbsf
	Depth, composite [mcd] (Depth comp) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: midpoint
	AGE [ka BP] (Age) * GEOCODE * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: this study
	Reference/source (Reference) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: data
	δ18O, adjusted/corrected [‰] (δ18O) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * METHOD/DEVICE: Corrected * COMMENT: corrected to Cibicidoides
	Bottom water temperature [°C] (BWT) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: Cibicidoides
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	30928 data points
*/
Event	Sample label	Depth top [m]	Foram benth δ13C [‰ PDB]	Foram benth δ18O [‰ PDB]	Depth sed [m]	Depth comp [mcd]	Age [ka BP]	Reference	δ18O [‰]	BWT [°C]
208-1262A	208-1262A-16H-4,37-38	147.370	2.22	0.44	147.3750	168.3350	58443.85	Littler et al. (2014) - MARUM	0.610	7.69
208-1262A	208-1262A-16H-4,40-41	147.400	2.33	0.35	147.4050	168.3650	58447.26	Littler et al. (2014) - MARUM	0.508	8.13
208-1262A	208-1262A-16H-4,43-44	147.430	2.19	0.33	147.4350	168.3950	58450.68	Littler et al. (2014) - MARUM	0.482	8.25
208-1262A	208-1262A-16H-4,43-44	147.430	2.37	0.46	147.4350	168.3950	58450.68	Littler et al. (2014) - MARUM	0.633	7.60
208-1262A	208-1262A-16H-4,46-47	147.460	2.41	-0.12	147.4650	168.4250	58454.09	Littler et al. (2014) - MARUM	-0.023	10.45
208-1262A	208-1262A-16H-4,49-50	147.490	2.02	0.14	147.4950	168.4550	58457.50	Littler et al. (2014) - MARUM	0.265	9.19
208-1262A	208-1262A-16H-4,49-50	147.490	2.24	0.45	147.4950	168.4550	58457.50	Littler et al. (2014) - MARUM	0.623	7.64
208-1262A	208-1262A-16H-4,52-53	147.520	2.03	0.33	147.5250	168.4850	58460.91	Littler et al. (2014) - MARUM	0.485	8.24
208-1262A	208-1262A-16H-4,55-56	147.550	2.18	0.24	147.5550	168.5150	58464.33	Littler et al. (2014) - MARUM	0.377	8.70
208-1262A	208-1262A-16H-4,61-62	147.610	2.14	0.35	147.6150	168.5750	58471.15	Littler et al. (2014) - MARUM	0.506	8.14
208-1262A	208-1262A-16H-4,64-65	147.640	2.13	0.07	147.6450	168.6050	58474.57	Littler et al. (2014) - MARUM	0.187	9.53
208-1262A	208-1262A-16H-4,67-68	147.670	1.96	0.08	147.6750	168.6350	58478.03	Littler et al. (2014) - MARUM	0.202	9.46
208-1262A	208-1262A-16H-4,70-71	147.700	2.18	0.44	147.7050	168.6650	58481.48	Littler et al. (2014) - MARUM	0.612	7.69
208-1262A	208-1262A-16H-4,73-74	147.730	2.01	0.20	147.7350	168.6950	58484.93	Littler et al. (2014) - MARUM	0.341	8.86
208-1262A	208-1262A-16H-4,76-77	147.760	2.26	0.30	147.7650	168.7250	58488.38	Littler et al. (2014) - MARUM	0.452	8.38
208-1262A	208-1262A-16H-4,79-80	147.790	1.98	0.31	147.7950	168.7550	58491.83	Littler et al. (2014) - MARUM	0.457	8.36
208-1262A	208-1262A-16H-4,82-83	147.820	2.38	0.27	147.8250	168.7850	58495.28	Littler et al. (2014) - MARUM	0.417	8.53
208-1262A	208-1262A-16H-4,85-86	147.850	2.25	-0.08	147.8550	168.8150	58498.74	Littler et al. (2014) - MARUM	0.017	10.28
208-1262A	208-1262A-16H-4,88-89	147.880	2.19	0.51	147.8850	168.8450	58502.19	Littler et al. (2014) - MARUM	0.689	7.35
208-1262A	208-1262A-16H-4,91-92	147.910	2.40	0.35	147.9150	168.8750	58505.64	Littler et al. (2014) - MARUM	0.507	8.14
208-1262A	208-1262A-16H-4,97-98	147.970	2.54	0.85	147.9750	168.9350	58512.54	Littler et al. (2014) - MARUM	1.068	5.74
208-1262A	208-1262A-16H-4,100-101	148.000	2.55	0.66	148.0050	168.9650	58515.99	Littler et al. (2014) - MARUM	0.851	6.66
208-1262A	208-1262A-16H-4,103-104	148.030	2.37	0.48	148.0350	168.9950	58519.45	Littler et al. (2014) - MARUM	0.647	7.54
208-1262A	208-1262A-16H-4,112-113	148.120	2.49	0.49	148.1250	169.0850	58529.80	Littler et al. (2014) - MARUM	0.662	7.47
208-1262A	208-1262A-16H-4,115-116	148.150	2.65	0.60	148.1550	169.1150	58533.25	Littler et al. (2014) - MARUM	0.783	6.95
208-1262A	208-1262A-16H-4,121-122	148.210	2.48	0.50	148.2150	169.1750	58540.16	Littler et al. (2014) - MARUM	0.677	7.41
208-1262A	208-1262A-16H-4,124-125	148.240	2.27	0.54	148.2450	169.2050	58543.61	Littler et al. (2014) - MARUM	0.723	7.21
208-1262A	208-1262A-16H-4,127-128	148.270	2.29	0.40	148.2750	169.2350	58547.06	Littler et al. (2014) - MARUM	0.556	7.93
208-1262A	208-1262A-16H-4,130-131	148.300	2.25	0.43	148.3050	169.2650	58550.51	Littler et al. (2014) - MARUM	0.593	7.77
208-1262A	208-1262A-16H-4,136-137	148.360	2.34	0.49	148.3650	169.3250	58557.41	Littler et al. (2014) - MARUM	0.660	7.48
208-1262A	208-1262A-16H-4,141-142	148.410	2.40	0.51	148.4150	169.3750	58563.17	Littler et al. (2014) - MARUM	0.688	7.36
208-1262A	208-1262A-16H-4,145-146	148.450	2.39	0.62	148.4550	169.4150	58567.77	Littler et al. (2014) - MARUM	0.810	6.84
208-1262A	208-1262A-16H-4,148-149	148.480	2.46	0.67	148.4850	169.4450	58571.22	Littler et al. (2014) - MARUM	0.861	6.62
208-1262A	208-1262A-16H-5,7-8	148.570	2.38	0.55	148.5750	169.5350	58581.72	Littler et al. (2014) - MARUM	0.733	7.17
208-1262A	208-1262A-16H-5,10-11	148.600	2.21	0.45	148.6050	169.5650	58586.06	Littler et al. (2014) - MARUM	0.618	7.66
208-1262A	208-1262A-16H-5,13-14	148.630	2.41	0.51	148.6350	169.5950	58590.39	Littler et al. (2014) - MARUM	0.688	7.36
208-1262A	208-1262A-16H-5,16-17	148.660	2.36	0.48	148.6650	169.6250	58594.72	Littler et al. (2014) - MARUM	0.648	7.53
208-1262A	208-1262A-16H-5,22-23	148.720	2.44	0.46	148.7250	169.6850	58603.39	Littler et al. (2014) - MARUM	0.632	7.60
208-1262A	208-1262A-16H-5,61-62	149.110	2.09	0.26	149.1150	170.0750	58659.72	Littler et al. (2014) - MARUM	0.402	8.60
208-1262A	208-1262A-16H-5,64-65	149.140	2.08	0.29	149.1450	170.1050	58664.06	Littler et al. (2014) - MARUM	0.442	8.42
208-1262A	208-1262A-16H-5,73-74	149.230	2.22	0.35	149.2350	170.1950	58677.06	Littler et al. (2014) - MARUM	0.501	8.17
208-1262A	208-1262A-16H-5,76-77	149.260	2.29	0.27	149.2650	170.2250	58681.39	Littler et al. (2014) - MARUM	0.421	8.51
208-1262B	208-1262B-18H-2,91-92	155.310	2.40	0.47	155.3150	170.4042	58707.25	Littler et al. (2014) - MARUM	0.636	7.58
208-1262A	208-1262A-16H-5,94-95	149.440	2.20	0.41	149.4450	170.4050	58707.39	Littler et al. (2014) - MARUM	0.573	7.85
208-1262B	208-1262B-18H-2,94-95	155.340	2.44	0.51	155.3450	170.4349	58711.72	Littler et al. (2014) - MARUM	0.685	7.37
208-1262B	208-1262B-18H-2,97-98	155.370	2.32	0.60	155.3750	170.4650	58716.06	Littler et al. (2014) - MARUM	0.781	6.96
208-1262A	208-1262A-16H-5,100-101	149.500	2.10	0.26	149.5050	170.4672	58716.35	Littler et al. (2014) - MARUM	0.400	8.60
208-1262B	208-1262B-18H-2,100-101	155.400	2.35	0.45	155.4050	170.4950	58720.39	Littler et al. (2014) - MARUM	0.621	7.65
208-1262A	208-1262A-16H-5,103-104	149.530	2.19	0.28	149.5350	170.4999	58721.11	Littler et al. (2014) - MARUM	0.429	8.48
208-1262B	208-1262B-18H-2,103-104	155.430	2.11	0.48	155.4350	170.5250	58724.72	Littler et al. (2014) - MARUM	0.652	7.51
208-1262B	208-1262B-18H-2,106-107	155.460	2.21	0.29	155.4650	170.5550	58729.06	Littler et al. (2014) - MARUM	0.438	8.44
208-1262B	208-1262B-18H-2,109-110	155.490	2.26	0.45	155.4950	170.5850	58733.39	Littler et al. (2014) - MARUM	0.618	7.66
208-1262B	208-1262B-18H-2,112-113	155.520	2.11	0.52	155.5250	170.6150	58737.72	Littler et al. (2014) - MARUM	0.692	7.34
208-1262B	208-1262B-18H-2,115-116	155.550	2.26	0.54	155.5550	170.6450	58742.06	Littler et al. (2014) - MARUM	0.723	7.21
208-1262B	208-1262B-18H-2,118-119	155.580	2.17	0.36	155.5850	170.6750	58746.39	Littler et al. (2014) - MARUM	0.521	8.08
208-1262B	208-1262B-18H-2,121-122	155.610	2.06	0.46	155.6150	170.7050	58750.68	Littler et al. (2014) - MARUM	0.633	7.60
208-1262B	208-1262B-18H-2,124-125	155.640	2.11	0.35	155.6450	170.7350	58754.73	Littler et al. (2014) - MARUM	0.506	8.14
208-1262B	208-1262B-18H-2,127-128	155.670	2.09	0.47	155.6750	170.7650	58758.78	Littler et al. (2014) - MARUM	0.637	7.58
208-1262B	208-1262B-18H-2,130-131	155.700	2.21	0.33	155.7050	170.7950	58762.83	Littler et al. (2014) - MARUM	0.483	8.24
208-1262B	208-1262B-18H-2,133-134	155.730	2.25	0.37	155.7350	170.8250	58766.88	Littler et al. (2014) - MARUM	0.523	8.07
208-1262B	208-1262B-18H-2,136-137	155.760	2.15	0.35	155.7650	170.8550	58770.94	Littler et al. (2014) - MARUM	0.505	8.15
208-1262B	208-1262B-18H-2,139-140	155.790	2.15	0.32	155.7950	170.8850	58774.99	Littler et al. (2014) - MARUM	0.467	8.31
208-1262B	208-1262B-18H-2,142-143	155.820	2.27	0.57	155.8250	170.9150	58779.04	Littler et al. (2014) - MARUM	0.748	7.10
208-1262B	208-1262B-18H-2,145-146	155.850	2.22	0.49	155.8550	170.9450	58783.09	Littler et al. (2014) - MARUM	0.657	7.49
208-1262B	208-1262B-18H-2,148-149	155.880	2.23	0.49	155.8850	170.9750	58787.14	Littler et al. (2014) - MARUM	0.661	7.47
208-1262B	208-1262B-18H-3,1-2	155.910	2.22	0.45	155.9150	171.0050	58791.20	Littler et al. (2014) - MARUM	0.619	7.65
208-1262B	208-1262B-18H-3,4-5	155.940	2.13	0.27	155.9450	171.0350	58795.25	Littler et al. (2014) - MARUM	0.418	8.52
208-1262B	208-1262B-18H-3,7-8	155.970	2.14	0.52	155.9750	171.0650	58799.30	Littler et al. (2014) - MARUM	0.693	7.34
208-1262B	208-1262B-18H-3,10-11	156.000	2.16	0.52	156.0050	171.0950	58803.35	Littler et al. (2014) - MARUM	0.691	7.35
208-1262B	208-1262B-18H-3,13-14	156.030	2.34	0.60	156.0350	171.1250	58807.40	Littler et al. (2014) - MARUM	0.784	6.95
208-1262B	208-1262B-18H-3,16-17	156.060	2.15	0.43	156.0650	171.1550	58811.45	Littler et al. (2014) - MARUM	0.592	7.77
208-1262B	208-1262B-18H-3,19-20	156.090	2.22	0.55	156.0950	171.1850	58815.51	Littler et al. (2014) - MARUM	0.735	7.16
208-1262B	208-1262B-18H-3,22-23	156.120	2.25	0.53	156.1250	171.2150	58819.56	Littler et al. (2014) - MARUM	0.708	7.28
208-1262B	208-1262B-18H-3,25-26	156.150	2.25	0.58	156.1550	171.2450	58823.61	Littler et al. (2014) - MARUM	0.760	7.05
208-1262B	208-1262B-18H-3,28-29	156.180	2.23	0.59	156.1850	171.2750	58827.66	Littler et al. (2014) - MARUM	0.770	7.01
208-1262B	208-1262B-18H-3,31-32	156.210	2.01	0.56	156.2150	171.3050	58831.71	Littler et al. (2014) - MARUM	0.742	7.13
208-1262B	208-1262B-18H-3,34-35	156.240	2.10	0.46	156.2450	171.3350	58835.77	Littler et al. (2014) - MARUM	0.631	7.61
208-1262B	208-1262B-18H-3,37-38	156.270	2.02	0.45	156.2750	171.3650	58839.82	Littler et al. (2014) - MARUM	0.612	7.68
208-1262B	208-1262B-18H-3,40-41	156.300	2.16	0.53	156.3050	171.3950	58843.87	Littler et al. (2014) - MARUM	0.707	7.28
208-1262B	208-1262B-18H-3,43-44	156.330	2.13	0.51	156.3350	171.4250	58847.92	Littler et al. (2014) - MARUM	0.687	7.37
208-1262B	208-1262B-18H-3,46-47	156.360	2.02	0.46	156.3650	171.4550	58851.97	Littler et al. (2014) - MARUM	0.633	7.60
208-1262B	208-1262B-18H-3,49-50	156.390	2.15	0.48	156.3950	171.4850	58857.25	Littler et al. (2014) - MARUM	0.655	7.50
208-1262B	208-1262B-18H-3,52-53	156.420	2.01	0.37	156.4250	171.5150	58863.75	Littler et al. (2014) - MARUM	0.532	8.03
208-1262B	208-1262B-18H-3,55-56	156.450	2.25	0.58	156.4550	171.5450	58870.25	Littler et al. (2014) - MARUM	0.761	7.05
208-1262B	208-1262B-18H-3,58-59	156.480	2.33	0.70	156.4850	171.5750	58876.75	Littler et al. (2014) - MARUM	0.903	6.44
208-1262B	208-1262B-18H-3,61-62	156.510	2.27	0.66	156.5150	171.6050	58883.25	Littler et al. (2014) - MARUM	0.849	6.67
208-1262B	208-1262B-18H-3,64-65	156.540	2.08	0.36	156.5450	171.6350	58889.75	Littler et al. (2014) - MARUM	0.518	8.09
208-1262B	208-1262B-18H-3,67-68	156.570	2.23	0.47	156.5750	171.6650	58896.25	Littler et al. (2014) - MARUM	0.640	7.57
208-1262B	208-1262B-18H-3,70-71	156.600	2.31	0.55	156.6050	171.6950	58902.75	Littler et al. (2014) - MARUM	0.726	7.20
208-1262B	208-1262B-18H-3,73-74	156.630	2.36	0.59	156.6350	171.7250	58909.25	Littler et al. (2014) - MARUM	0.771	7.00
208-1262B	208-1262B-18H-3,76-77	156.660	2.32	0.57	156.6650	171.7550	58915.75	Littler et al. (2014) - MARUM	0.747	7.11
208-1262B	208-1262B-18H-3,79-80	156.690	2.14	0.27	156.6950	171.7850	58922.25	Littler et al. (2014) - MARUM	0.416	8.53
208-1262B	208-1262B-18H-3,85-86	156.750	2.28	0.43	156.7550	171.8450	58935.25	Littler et al. (2014) - MARUM	0.595	7.76
208-1262B	208-1262B-18H-3,88-89	156.780	2.22	0.23	156.7850	171.8750	58941.75	Littler et al. (2014) - MARUM	0.369	8.74
208-1262B	208-1262B-18H-3,94-95	156.840	2.24	0.39	156.8450	171.9350	58954.75	Littler et al. (2014) - MARUM	0.547	7.96
208-1262B	208-1262B-18H-3,97-98	156.870	2.34	0.28	156.8750	171.9650	58960.51	Littler et al. (2014) - MARUM	0.432	8.46
208-1262B	208-1262B-18H-3,103-104	156.930	2.12	0.59	156.9350	172.0250	58970.57	Littler et al. (2014) - MARUM	0.771	7.00
208-1262B	208-1262B-18H-3,106-107	156.960	2.28	0.38	156.9650	172.0550	58975.60	Littler et al. (2014) - MARUM	0.544	7.98
208-1262B	208-1262B-18H-3,112-113	157.020	2.33	0.58	157.0250	172.1150	58985.65	Littler et al. (2014) - MARUM	0.766	7.03
208-1262B	208-1262B-18H-3,115-116	157.050	2.42	0.56	157.0550	172.1450	58990.68	Littler et al. (2014) - MARUM	0.743	7.12
208-1262B	208-1262B-18H-3,118-119	157.080	2.43	0.62	157.0850	172.1750	58995.71	Littler et al. (2014) - MARUM	0.805	6.86
208-1262B	208-1262B-18H-3,121-122	157.110	2.46	0.57	157.1150	172.2050	59000.74	Littler et al. (2014) - MARUM	0.752	7.08
208-1262B	208-1262B-18H-3,124-125	157.140	2.45	0.72	157.1450	172.2350	59005.76	Littler et al. (2014) - MARUM	0.918	6.38
208-1262B	208-1262B-18H-3,130-131	157.200	2.36	0.57	157.2050	172.2950	59015.82	Littler et al. (2014) - MARUM	0.756	7.07
208-1262B	208-1262B-18H-3,133-134	157.230	2.30	0.59	157.2350	172.3250	59020.85	Littler et al. (2014) - MARUM	0.772	7.00
208-1262B	208-1262B-18H-3,136-137	157.260	2.38	0.64	157.2650	172.3550	59025.88	Littler et al. (2014) - MARUM	0.831	6.75
208-1262B	208-1262B-18H-3,139-140	157.290	2.30	0.62	157.2950	172.3850	59030.90	Littler et al. (2014) - MARUM	0.814	6.82
208-1262B	208-1262B-18H-3,142-143	157.320	2.26	0.43	157.3250	172.4150	59035.93	Littler et al. (2014) - MARUM	0.600	7.74
208-1262B	208-1262B-18H-3,145-146	157.350	2.23	0.52	157.3550	172.4450	59040.96	Littler et al. (2014) - MARUM	0.701	7.30
208-1262B	208-1262B-18H-3,148-149	157.380	2.35	0.65	157.3850	172.4750	59045.99	Littler et al. (2014) - MARUM	0.847	6.68
208-1262B	208-1262B-18H-4,3-4	157.430	2.36	0.70	157.4350	172.5250	59054.37	Littler et al. (2014) - MARUM	0.903	6.44
208-1262B	208-1262B-18H-4,6-7	157.460	2.36	0.66	157.4650	172.5550	59059.39	Littler et al. (2014) - MARUM	0.850	6.67
208-1262B	208-1262B-18H-4,9-10	157.490	2.23	0.55	157.4950	172.5850	59064.42	Littler et al. (2014) - MARUM	0.730	7.18
208-1262B	208-1262B-18H-4,12-13	157.520	2.37	0.73	157.5250	172.6150	59069.45	Littler et al. (2014) - MARUM	0.933	6.32
208-1262B	208-1262B-18H-4,15-16	157.550	2.32	0.14	157.5550	172.6450	59074.48	Littler et al. (2014) - MARUM	0.274	9.15
208-1262B	208-1262B-18H-4,18-19	157.580	2.20	0.68	157.5850	172.6750	59079.50	Littler et al. (2014) - MARUM	0.873	6.57
208-1262B	208-1262B-18H-4,21-22	157.610	2.23	0.66	157.6150	172.7050	59084.53	Littler et al. (2014) - MARUM	0.851	6.66
208-1262B	208-1262B-18H-4,24-25	157.640	2.29	0.64	157.6450	172.7350	59089.56	Littler et al. (2014) - MARUM	0.828	6.76
208-1262B	208-1262B-18H-4,27-28	157.670	2.30	0.66	157.6750	172.7650	59094.59	Littler et al. (2014) - MARUM	0.851	6.67
208-1262B	208-1262B-18H-4,30-31	157.700	2.03	0.55	157.7050	172.7950	59099.62	Littler et al. (2014) - MARUM	0.726	7.20
208-1262B	208-1262B-18H-4,33-34	157.730	2.33	0.72	157.7350	172.8250	59104.64	Littler et al. (2014) - MARUM	0.926	6.35
208-1262B	208-1262B-18H-4,36-37	157.760	2.18	0.76	157.7650	172.8550	59109.67	Littler et al. (2014) - MARUM	0.968	6.17
208-1262B	208-1262B-18H-4,39-40	157.790	2.27	0.63	157.7950	172.8850	59114.70	Littler et al. (2014) - MARUM	0.818	6.80
208-1262B	208-1262B-18H-4,42-43	157.820	2.21	0.62	157.8250	172.9150	59119.73	Littler et al. (2014) - MARUM	0.806	6.85
208-1262B	208-1262B-18H-4,45-46	157.850	2.23	0.63	157.8550	172.9450	59124.75	Littler et al. (2014) - MARUM	0.825	6.77
208-1262B	208-1262B-18H-4,48-49	157.880	2.23	0.63	157.8850	172.9750	59129.78	Littler et al. (2014) - MARUM	0.822	6.79
208-1262B	208-1262B-18H-4,51-52	157.910	2.14	0.72	157.9150	173.0050	59134.81	Littler et al. (2014) - MARUM	0.918	6.38
208-1262B	208-1262B-18H-4,54-55	157.940	2.28	0.71	157.9450	173.0350	59140.03	Littler et al. (2014) - MARUM	0.914	6.40
208-1262B	208-1262B-18H-4,57-58	157.970	2.15	0.69	157.9750	173.0650	59146.22	Littler et al. (2014) - MARUM	0.891	6.49
208-1262B	208-1262B-18H-4,60-61	158.000	2.13	0.56	158.0050	173.0950	59152.41	Littler et al. (2014) - MARUM	0.738	7.14
208-1262B	208-1262B-18H-4,63-64	158.030	2.19	0.55	158.0350	173.1250	59158.59	Littler et al. (2014) - MARUM	0.736	7.16
208-1262B	208-1262B-18H-4,66-67	158.060	2.18	0.57	158.0650	173.1550	59164.78	Littler et al. (2014) - MARUM	0.757	7.06
208-1262B	208-1262B-18H-4,69-70	158.090	2.15	0.57	158.0950	173.1850	59170.97	Littler et al. (2014) - MARUM	0.751	7.09
208-1262B	208-1262B-18H-4,72-73	158.120	2.10	0.61	158.1250	173.2150	59177.16	Littler et al. (2014) - MARUM	0.800	6.88
208-1262B	208-1262B-18H-4,75-76	158.150	2.26	0.53	158.1550	173.2450	59183.34	Littler et al. (2014) - MARUM	0.705	7.29
208-1262B	208-1262B-18H-4,78-79	158.180	2.28	0.65	158.1850	173.2750	59189.53	Littler et al. (2014) - MARUM	0.846	6.68
208-1262B	208-1262B-18H-4,81-82	158.210	2.36	0.66	158.2150	173.3050	59195.72	Littler et al. (2014) - MARUM	0.857	6.64
208-1262B	208-1262B-18H-4,84-85	158.240	2.25	0.62	158.2450	173.3350	59201.91	Littler et al. (2014) - MARUM	0.806	6.86
208-1262B	208-1262B-18H-4,85-86	158.250	2.13	0.47	158.2550	173.3450	59203.97	Littler et al. (2014) - MARUM	0.643	7.55
208-1262B	208-1262B-18H-4,87-88	158.270	2.07	0.55	158.2750	173.3650	59208.09	Littler et al. (2014) - MARUM	0.729	7.19
208-1262B	208-1262B-18H-4,88-89	158.280	2.15	0.48	158.2850	173.3750	59210.16	Littler et al. (2014) - MARUM	0.647	7.54
208-1262B	208-1262B-18H-4,89-90	158.290	2.09	0.51	158.2950	173.3850	59212.22	Littler et al. (2014) - MARUM	0.681	7.39
208-1262B	208-1262B-18H-4,91-92	158.310	2.05	0.51	158.3150	173.4050	59216.34	Littler et al. (2014) - MARUM	0.681	7.39
208-1262B	208-1262B-18H-4,92-93	158.320	2.04	0.48	158.3250	173.4150	59218.41	Littler et al. (2014) - MARUM	0.653	7.51
208-1262B	208-1262B-18H-4,94-95	158.340	2.06	0.55	158.3450	173.4350	59222.53	Littler et al. (2014) - MARUM	0.731	7.18
208-1262B	208-1262B-18H-4,95-96	158.350	2.17	0.63	158.3550	173.4450	59224.59	Littler et al. (2014) - MARUM	0.820	6.80
208-1262B	208-1262B-18H-4,96-97	158.360	2.03	0.43	158.3650	173.4550	59226.66	Littler et al. (2014) - MARUM	0.593	7.77
